English Terms,中文术语,中文定义,
Accelerated Depreciation,加快折旧,任何基于会计或税务原因促使一项资产在较早期以较大金额折旧的折旧原则,
Accident and Health Benefits,意外与健康福利,为员工提供有关疾病、意外受伤或意外死亡的福利。这些福利包括支付医院及医疗开支以及有关时期的收入。,
Accounts Receivable (AR),应收账款,客户应付的金额。拥有应收账款指公司已经出售产品或服务但仍未收取款项,
Accretive Acquisition,具增值作用的收购项目,能提高进行收购公司每股盈利的收购项目,
Acid Test,酸性测试比率,一项严谨的测试，用以衡量一家公司是否拥有足够的短期资产，在无需出售库存的情况下解决其短期负债。   ,
Act of God Bond,天灾债券,保险公司发行的债券，旨在将债券的本金及利息与天然灾害造成的公司损失联系起来,
Active Bond Crowd,活跃债券投资者,在纽约股票交易所内买卖活跃的定息证券,
Active Income,活动收入,来自提供服务所得的收入，包括工资、薪酬、奖金、佣金，以及来自实际参与业务的收入,
Active Investing ,积极投资,包含持续买卖行为的投资策略。主动投资者买入投资，并密切注意其走势，以期把握盈利机会,
Active Management,积极管理,寻求投资回报高于既定基准的投资策略,
Activity Based Budgeting,以活动为基础的预算案,一种制定预算的方法，过程为列举机构内每个部门所有牵涉成本的活动，并确立各种活动之间的关系，然后根据此资料决定对各项活动投入的资源,
Activity Based Management,以活动为基础的管理,利用以活动为基础的成本计算制度改善一家公司的运营,
Activity Ratio,活动比率,一项用以衡量一家公司将其资产负债表内账项转为现金或营业额的能力的会计比率,
Actual Return,实际回报,一名投资者的实际收益或损失，可用以下公式表示：预期回报加上公司特殊消息及总体经济消息,
Actuary,精算,保险公司的专业人员，负责评估申请人及其医疗纪录，以预测申请人的寿命,
Acquisition,收购,一家公司收购另一家公司的多数股权,
Acquisition Premium,收购溢价,收购一家公司的实际成本与该公司收购前估值之间的差额,
Affiliated Companies,联营公司,一家公司拥有另一家公司少数权益(低于50%)的情况，或指两家公司之间存在某些关联,
Affiliated Person,关联人士,能影响一家企业活动的人士，包括董事、行政人员及股东等,
After Hours Trading,收盘后交易,主要大型交易所正常交易时间以外进行的买卖交易,
After Tax Operating Income - ATOI,税后营运收入,一家公司除税后的总营运收入。计算方法为将总营运收入减税项,
After Tax Profit Margin,税后利润率,一种财务比率，计算方法为税后净利润除以净销售额,
After The Bell,收盘铃后,股票市场收盘后,
Agency Bonds,机构债券,由政府机构发行的债券,
Agency Cross,交叉代理人,"一项由一名代理人同时代表买方与卖方的交易，也称为""双重代理人""(""Dual Agency"")。",
Agency Problem ,代理问题,债券人、股东及管理人员因目标不同而产生的利益冲突,
Agency Securities,机构证券,由美国政府支持的企业发行的低风险债务,
Aggregate Exercise Price,总行使价格,出售或买入期权的行使价格乘以合约金额,
Aggressive Accounting,激进会计法,不当地编制损益表以取悦投资者及提高股价,
Aggressive Investment Strategy,进取投资策略,投资组合经理尝试争取最高的回报。进取的投资者把较高比重的资产投入股票，比重较其他风险较低的债务证券要高,
Alan Greenspan,格林斯潘,格林斯潘博士是美国联邦储备局监理会的主席。他将于2004年6月20日完成第四个四年任期。格林斯潘博士也联邦储备局主要货币政策制定组织联邦公开市场委员会的主席,
Allotment,配股,首次公开上市中向各承销机构分配，容许其出售的股份。其余股份会分给其他取得上市股份出售权的证券公司,
Allowance For Doubtful Accounts,呆账准备金,公司对可能不能收到的应收账款的预测，这项数据将纪录在公司的资产负债表上,
American Depository Receipt (ADR),美国存托凭证,一份美国存托凭证代表美国以外国家一家企业的若干股份。美国存托凭证在美国市场进行买卖，交易程序与普通美国股票相同。美国存托凭证由美国银行发行，每份包含美国以外国家一家企业交由国外托管人托管的若干股份。该企业必须向代为发行的银行提供财务资料。美国存托凭证不能消除相关企业股票的货币及经济风险。美国存托凭证可在纽约股票交易所、美国股票交易所或纳斯达克交易所挂牌上市,
American Depository Share (ADS),美国存托股份,根据存托协议发行的股份，代表发行企业在本土上市的股票,
American Option,美式期权,可在有效期间随时行使的期权,
American Stock Exchange,美国股票交易所,美国第三大股票交易所，位于纽约，处理美国交易证券总额的10%,
Amortization,摊销,在一段期间分期偿还债务。在一个特定时期资本开支的减少。与类似相似，是一种衡量长期资产，例如设备或建筑物在特定期间价值的消耗,
Analyst,分析员,具备评估投资专长的金融专业人员，一般受聘于证券行、投资顾问机构或共同基金。分析员对不同的证券作出买入、卖出或持有的建议。为了提供全面的研究分析，分析员一般会专注于不同的行业或经济板块,
Angel Investor,天使投资者,向小型初始企业或创业者提供创业资金的财务投资者,
Annual General Meeting (AGM) ,年度股东大会,必须每年举行一次的股东会议，指在向股东通报公司的决策与工作,
Annual Report,年报,一家公司每年一度的财务营运报告。年报的内容包括资产负债表、损益表、审计师报告以及公司业务的概要,
Annuity,年金,在特定期间定期定额支付的款项,
Annuity Due,即付年金,需要即时支付， 而不是在期末支付的年金,
Anti-dilution Provision,反摊薄条款,期权或可转换证券的一项条款，用以保障投资者，不会由于未来公司以较低价格(低于有关投资者支付的价格)发行股份而被摊薄,
Anti-takeover Measure,反收购措施,企业管理人员长期或不时采取，防止或延迟被恶意收购的措施,
Anti-takeover Statute,反收购法规,旨在防止或延迟恶意收购的一套美国法规。每一州的法规细则有所不同，一般只适用于在州内注册成立的公司,
Anti-trust,反垄断法,美国的反垄断法适用于所有行业及所有层面的业务，包括制造、交通、分销及促销。法律禁止多种对交易造成妨碍或限制的行为。非法行为包括联合控制价格、可能减弱个别市场竞争动力的企业合并、意图实现或维持垄断势力的掠夺性行为,
Any and All Bid,所有出价,投标买入在特定价格出售的所有股份,
APICS Business Outlook Index ,APICS(美国生产及库存控制协议)商业前景指数,美国全国性制造业指数，每月对多家制造业企业进行调查。若指数高于50，表示行业正在扩展，若低于50，则表示行业正在萎缩,
Appraisal,价值评估,对一项物业或业务价值的意见,
Appreciation,升值,资产价值上升,
Arbitrage,套汇,同时买入及卖出证券，意图从差价中获利，在一般于不同的交易所或市场进行买卖,
Arbitrage Bond,套汇债券,市政府在市政府现有高评级证券买回日期前发行的低评级债务证券,
Arbitrage Pricing Theory (APT),套汇定价理论,是资本资产定价模式以外的另一个选择，主要分别在于其假设及对资产相关风险因素的诠释,
Arbitrage Trading Program (ATP),套汇交易理论,同时买入股票指数期货及相关股份的交易计划，旨在从差价中获利(市场套汇),
Arbitration,仲裁,对争议的非正式听证，其间一组由公正委员会选出的人士(一般为三名)对争议作出裁判。在做出判决会，不设进一步上诉的机制,
Arms Length Transaction,公平交易,一项产品的买方与卖方独立进行交易，互相之间并无任何关系,
Asian Option,亚洲式期权,回报根据相关证券在特定期间的平均价格而定的期权,
Ask (Price),买方叫价,卖方愿意接受的证券价格，也称为要约价格,
Assessed Value,评估后价值,一项房地产在税务上的预测价值,
Assessor ,估价人,决定一项房地产在税务上价值的地方政府官员,
Asset,资产,个人或一家企业拥有、具有经济价值的任何物品。资产也是资产负债表上的一个重要项目，显示公司拥有的价值企业买入资产以提高公司的价值或促进业务,
Asset-Backed Security,资产抵押证券,由资产相关票据或应收账款，而不是房地产为担保的证券,
Asset Allocation,资产分配,将一个投资组合分为不同资产种类的过程，主要资产种类包括债券、股票或现金。资产分配的目的在于通过分散投资减低风险,
Asset Allocation Fund,资产分配基金,一种将投资资产分为债券、股票及其他证券的共同基金，目的在于回报最大化及风险最小化,
Asset Coverage Ratio,资产偿付比率,评估一家企业在扣除所有负债后以资产偿付债务的能力，计算方法为：   ,
Asset-Liability Management,资产负债管理,企业协调资产及负债管理的措施，以赚取适当的回报,
Asset Play,资产隙,估值不当的股票，其合并资产价值高于总市值，以而具有吸引力,
Asset Redeployment,资产重新配置,将公司的资产重新进行策略分配，以提高盈利能力,
Asset Swap,资产互换,与单纯掉期结构相似，主要分别在于潜在的掉期合约。互换的是固定及浮动投资，而不是一般的固定或浮动贷款利率,
Asset Turnover,资产周转率,每一单位金额资产产生的营业额。计算方法为：   ,
Asset Valuation,资产估值,评估一个投资组合、一家企业、一项投资或资产负债表项目当时价值的过程,
Assets Under Management,管理资产额,一般为一家投资公司代表投资者管理资产的市场价值,
Assignment,转让,将要一项权益或物业转给另一名人士或另一项业务,
At the Money,到价,一项期权到价指该期权的行使价格相等于相关证券的市场价值,
ATP,套汇交易理论,同时买入股票指数期货及相关股份的交易计划，旨在从差价中获利(市场套汇),
Auction Market,拍卖市场,买方与卖方同时进行竞争性叫价及出价的市场,
Audit,审计, 对一家机构财务报表的公正验证及评价，可以是机构内部的程序(由机构员工进行)或外部程序(由外部机构进行),
Auditor's Report,审计师报告,是公司年报的一部分，旨在确证公司财务报告符合适当的通用会计原则,
Authorized Stock,授权股份,企业公司章程容许发行的最高股份数量。这个数字一般列在资产负债表的资本账目部分,
Auto Sales,汽车销售额,美国国内主要汽车制造商每月报告销售金额。美国商务部每季度作出调整，并于每月结束前一至五天向公众公布,
Automated Bond System (ABS),自动债券系统,纽约交易所的电子系统，纪录被动交易债券的叫价及出价。系统不断对债券进行监察，直至债券被注销,
Automated Confirmation Transaction Service (ACT) ,自动确认交易系统,纪录及结算纳斯达克市场交易的自动系统,
Average Annual Growth Rate,平均年度增长率,一个投资组合在一年内价值的平均升幅,
Average Annual Return,平均年度回报率,用以报告共同基金历史回报表现的数据。平均年度回报率扣除了开支，包括行政费用、12b-1费用以及其他开支,
Average Life,平均时期,对到期时期的预测，其中考虑了提早偿付的可能性。平均时期的计算根据收取所有未来现金流的加权平均时间,
Average Price,平均价格,在某些情况用作评估债券的到期时收益率。债券平均价格的计算方法为债券面值加支付价格，然后把总和除二。对共同基金而言，平均价格也称为净资产值,
Average Price Call,平均价格买入期权权,一种期权，其收益为零或相等于资产平均价格高于行使价格的金额,
Average Price Put,平均价格出售期权,一种期权，其收益为零或相等于行使价格高于资产平均价格的金额,
Average Up,提高平均价格,以比原先买入价格高的价格买入更多股票，从而提高所有股票的平均价格,
Back Door Listing,后门上市/借壳上市,未能符合股票交易所上市要求的企业采用的一种上市策略，公司通过收购一家已经上市的公司而达到上市的目的,
Backlog,订单积压,等候完成的出售指示,
Back Office,后线,金融服务公司的行政及支援人员，主要职能包括交易结算、清理、记录、合规监察、会计等,
Back Pricing,往后定价,某些期货合约采用的方法，期货商品的价格由买方在签署合约后特定日期决定,
Back-to-Back Loan,背对背贷款,两家位于不同国家的公司向对方借贷相同金额的对方国家货币贷款，目的在于对冲货币波动的风险,
Backstop,最后担保,为一项证券发行提供最终的保证或担保,
Bad Debt,不良贷款,不能回收的债务，因此对债权人没有价值,
Balanced Fund,平衡基金,将资产投资于货币市场、债券、优先股及普通股的共同基金，目的在于同时实现增长及收益,
Balanced Investment Strategy,平衡投资策略,旨在平衡风险及回报的投资组合分配及管理方法,
Balance Of Payments (BOP),国际收支差额,一个国家在特定期间进行的所有交易的纪录，可用作比较一个国家与其他国家的经济活动量,
Balance Of Trade (BOT),国际贸易差额,一个国家收支差额的最大组成项目。指出口及进口的差额。减项包括进口、外国援助、国民在国外的开支及国民在国外的投资。加项包括出口、外国国民在国内的开支以及外国国民在国内的投资,
Balance Sheet,资产负债表,一家企业的财务报表，报告公司在一个特定时间的资产、负债及净值 ,
Balloon Option,气球型期权,名义付款额在达到若干标准后提高的期权,
Balloon Maturity,气球型期限,气球型期权是指名义付款额在达到若干标准后提高的期权。,
Bancassurance,银行出售保险,法文词汇，指通过银行既有的分销渠道销售保险,
Bank Guarantee,银行担保,放贷机构发出的担保，证明债务人的负债可获偿还。换言之，若债务人不能偿还债务，银行将承担责任,
Bank for International Settlements (BIS),国际结算银行,旨在加强各国中央银行及国际金融机构合作的国际组织,
Bank Insurance,银行保险,一家公营或私营机构发出的担保，保证若银行破产，将承担特定金额以内的银行存款,
Bank Investment Contract (BIC),银行投资合约,附有银行发出的利率保证的证券，可在特定时期内带来固定的收益率,
Bank Rate,银行利率,中央银行向国内银行借贷的利率,
Bank run,银行挤兑,大量银行客户在同一时间要求提取银行存款，而银行的储备不足以应付提款,
Bankruptcy,破产,由于一名人士或一家公司未能偿还债务。对公司而言，破产意味着需要将公司的资产从股东名下转移到债券持有人名下。,
Bankruptcy Risk,破产风险,公司不能偿还债务的风险，是一种永恒存在的风险，一般指违约或资不抵债风险,
Barrel's per Day,每日产量(桶),评估石油产量的常用统计单位,
Barter,以物易物,不牵涉金钱的货品或服务交易,
Base Period,基本时期,在分析经济数据时作为比较基础的时期,
Basing ,平稳期,股价变化极少甚至没有变动，造成股价持平的时期,
Basis Point (BP),基点,债券收益率单位，相等于1%的百分之一。债券收益率从5.0%上升至5.5%即相等于上升50基点,
Bear Market,熊市,一组证券的价格下跌或预期会下跌的市场状况。虽然数据可能视乎情况而有所不同，但一般来说，指多个重要指数(例如道琼斯或标准普尔500)下跌15-20%或以上,
Bear Raid,空头猛跌，大量抛空以使价格下跌,一种非法投资手段，指投资者通过大量卖空目标公司的股票，并散播有关这家公司的不利谣言，推低股价,
Bearer Form,凭票即付形式，无记名形式,并无登记在发行公司的账目上，但会向持票人支付的票据,
Beginning Inventory,期初库存,在一个库存会计时期开始时可供使用或出售的货品、物资或原料的账面价值,
Behavioral Economics ,行为经济学,经济学的一个范畴，研究实际决策程序对最后作出决策的影响,
Behavioral Finance,行为金融学,金融学的一个范畴，主张以心理理论解释股票市场的不正常情况。行为金融学假设市场参与者的信息结构及特点有系统地影响其投资决策及市场结果,
Benchmark,基准,用作衡量任何形式表现的任何比较标准,
Benchmark Bond,基准债券,用作比较其他债券表现的标准。美国国库券几乎是所有债券的基准债券,
Beneficial Owner,受益者,一名人士或一家机构拥有某资产的利益但并无登记为股东,
Beneficiary ,受益方,遗嘱或财务合约中订明有权在资产拥有者过世后承继有关资产的人士或机构,
Benefit Cost Ratio - (BCR),效益成本比率,旨在清楚确立拟定项目成本与效益之间关系的比率,
Bequest ,遗赠，遗产,将股票、债券或任何其他资产转给遗嘱订明受益方的过程,
Best Ask,最低叫价,所有竞争性作市商对一种股票的最低叫价,
Best Bid,最高出价,所有竞争性作市商对一种股票的最高出价,
